siteid,num_patients_all,num_patients_ever_severe,num_patients_never_severe,female,male,other_sex,unknown_other_sex,00to02,03to05,06to11,12to17,18to25,26to49,50to69,70to79,80plus,other_age_group,unknown_other_age_group,american_indian,asian,black,hawaiian_pacific_islander,hispanic_latino,other,white,unknown_other_race
SITE397,9827,6136,3691,40.8,58.3,0.9,0.9,1,0.2,0.3,0.5,1.3,16.3,35,18.6,25.9,0.9,0.9,0,0,0,0,0,100,0,100
SITE926,945,89,856,40.4,59.6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100
SITE824,682,416,266,51,49.3,0,-0.3,0,0,0,0,2.1,17.4,36.1,22.1,21,0,1.3,0,4.3,28.2,0,15.4,15.8,37,15.2
SITE561,497,151,346,45.5,52.5,2,2,0,0,0,0,4,22.5,42.3,14.1,12.1,2,5,0,3.6,24.9,0,30.6,4.8,37.6,3.2
SITE528,354,253,101,43.2,56.8,0,0,1.7,0,0,1.4,1.4,13.6,41.5,17.2,22.6,0,0.6,0,0,0,0,0,100,0,100
SITE607,2369,907,1462,45.3,54.7,0,0,0.4,0,0.5,0,1.7,21,36,16.8,23.3,0,0.2,0,0,0,0,0,0,0,100
SITE209,1533,394,1139,32.9,67.1,0,0,1,0,0.7,0.6,0.4,11.4,40.1,26.1,19.5,0,0.2,0,0,0,0,0,100,0,100
SITE812,262,20,242,47.7,52.3,0,0,0,0,0,0.4,0.4,5.7,27.1,29.4,37,0,0,0,0,0,0,0,100,0,100
SITE599,200,104,96,50,50,0,0,0,0,0,0,0,26.5,39,18,12.5,0,4,0,0,39.5,0,20,12.5,26.5,14
SITE864,677,279,398,51.6,48.4,0,0,0,0,0,0,3.4,24.8,32.5,15.8,19.1,4.4,4.4,0,2.8,53.2,0,9.2,0,35.3,-0.4
SITE711,127,45,82,50.4,49.6,0,0,0,0,0,0,0,18.1,37.8,27.6,12.6,0,3.9,0,0,76.4,0,0,0,21.3,2.4
SITE116,278,34,244,24.8,75.2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100
SITE798,2305,1126,1179,48.8,51.2,0,0,0.2,0,0.1,0.1,4.2,28.8,39.7,13.8,13.1,0,0,0,3.8,19.1,0.4,0,17.3,59.3,17.3
SITE434,612,73,539,42.5,57.5,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100
SITE157,417,204,213,58.3,61.4,0,-19.7,0,0,0,0,2.9,26.4,44.1,25.9,20.4,0,-19.7,0.7,0,61.4,0,0,57.6,0,37.9
SITE852,1117,317,800,49.1,50.9,0,0,0,0,0.1,0.3,1.4,15.8,37.2,19.8,25.4,0,0,0.2,1.8,13.2,0,24.1,4.7,56,4.7
SITE510,425,159,266,43.8,56.2,0,0,0,0,0,0,3.8,24.7,35.5,14.6,19.3,0,2.1,0,8.5,8.2,0,0,36.2,46.6,36.7
SITE841,103,39,64,39.8,60.2,0,0,0,0,0,0,0,17.5,46.6,20.4,10.7,0,4.9,0,0,0,0,0,0,0,100
SITE483,186,62,124,40.3,59.7,0,0,2.7,0,0,0,0,14.5,40.3,19.9,21.5,0,1.1,0,0,0,0,0,0,0,100
SITE712,113,57,56,42.5,57.5,0,0,0,0,0,3.5,0.9,23,42.5,21.2,8.8,0,0,0,0.9,23.9,0,468.1,4.4,69.9,-462.8
SITE288,1186,994,192,44.4,55.6,0,0,12,3.1,3.5,2.9,5,21.8,35.2,10.9,5.3,0.3,0.3,0.6,1.6,21.2,0,2.9,7.3,67.9,5.8
SITE185,81,27,54,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100
SITE974,62,22,40,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100
SITE142,2377,747,1630,52.5,47.5,0,0,0,0,0,0,5.9,24.4,36.1,16.1,17.2,0,0.3,0,4.7,49.3,0,11.3,4.8,29.7,5
SITE154,755,335,420,47.8,52.2,0,0,0,0,0,0,1.6,15.9,35.4,22.8,22.6,0,1.7,0,0,30.9,0,0,4.9,62.9,6.2
SITE295,73,45,28,41.1,58.9,0,0,0,0,0,0,0,28.8,42.5,15.1,11,0,2.7,0,0,27.4,0,30.1,0,50.7,-8.2
SITE859,217,196,21,5.1,94.9,0,0,0,0,0,0,0,4.6,29,33.6,32.7,0,0,0,0,17.5,0,0,6.5,74.2,8.3
SITE533,474,471,3,9.7,90.3,0,0,0,0,0,0,0,7.4,44.1,30.8,17.5,0,0.2,0,0,50.6,0,0,13.9,34.6,14.8
SITE163,407,406,1,8.6,91.4,0,0,0,0,0,0,3.7,8.6,39.6,33.4,14.7,0,0,0,0,59,0,5.7,4.9,33.2,2.2
SITE546,91,91,0,0,92.3,0,7.7,0,0,0,0,0,0,44,39.6,11,0,5.5,0,0,59.3,0,0,0,35.2,5.5
SITE200,344,343,1,4.4,95.6,0,0,0,0,0,0,0,8.1,37.5,36.3,18,0,0,0,0,67.7,0,4.9,0,28.8,-1.5
SITE775,208,208,0,11.5,88.5,0,0,0,0,0,0,0,22.6,36.5,26.9,13.9,0,0,0,0,33.7,0,26,9.6,48.1,-7.7
SITE455,106,104,2,0,95.3,0,4.7,0,0,0,0,0,0,32.1,44.3,17,0,6.6,0,0,19.8,0,0,0,70.8,9.4
SITE981,872,840,32,6.8,93.2,0,0,0,0,0,0,0,7.7,34.6,32.7,25,0,0,0,0,42.9,0,16.1,13.4,38.6,2.4
SITE432,84,84,0,0,89.3,0,10.7,0,0,0,0,0,0,23.8,41.7,31,0,3.6,0,0,0,0,0,0,78.6,21.4
SITE376,97,97,0,0,94.8,0,5.2,0,0,0,0,0,13.4,28.9,25.8,32,0,0,0,0,20.6,0,12.4,0,58.8,8.2
SITE913,335,327,8,3.9,96.1,0,0,0,0,0,0,0,10.7,34,35.2,20,0,0,0,0,19.7,0,17.6,12.2,62.1,0.6
SITE980,131,129,2,0,96.9,0,3.1,0,0,0,0,0,0,32.1,38.9,25.2,0,3.8,0,0,17.6,0,0,0,75.6,6.9
SITE622,137,135,2,0,97.1,0,2.9,0,0,0,0,0,0,37.2,42.3,13.9,0,6.6,0,0,54.7,0,0,0,40.9,4.4
SITE719,183,179,4,7.7,92.3,0,0,0,0,0,0,0,9.3,44.8,29.5,16.4,0,0,0,0,72.1,0,0,7.1,19.7,8.2
SITE214,125,125,0,0,96.8,0,3.2,0,0,0,0,0,8,36.8,32.8,22.4,0,0,0,0,57.6,0,0,0,39.2,3.2
SITE834,267,261,6,11.2,88.8,0,0,0,0,0,0,0,13.9,44.2,24.7,17.2,0,0,0,0,72.7,0,0,0,22.5,4.9
SITE923,234,211,23,7.7,92.3,0,0,0,0,0,0,0,15,41.5,28.6,14.5,0,0.4,0,0,30.8,0,21.8,6.4,58.1,-10.7
SITE762,120,119,1,0,95,0,5,0,0,0,0,0,0,40.8,36.7,15.8,0,6.7,0,0,58.3,0,0,0,37.5,4.2
SITE734,3182,1067,2115,46.4,53.6,0,0,0,0,0,0.4,2.5,22.6,36.5,17.1,20.2,0,0.7,0.6,3.8,17.6,0,2.9,25,49.3,25.8
