icd,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,p_value_holm,p_value_bh
728,0.007964262209537536,0.9899854250376857,0.34804868483382045,9,-0.010234402485978122,0.0261629269050532,One Sample t-test,two.sided,1,0.5220730272507307
331,0.006223680977242724,1.4009993027941507,0.20395457193300387,7,-0.004280726086782168,0.016728088041267616,One Sample t-test,two.sided,1,0.47785137785037246
781,0.017775247384659104,1.2991643278458327,0.2300765893353645,8,-0.013775645058075086,0.04932613982739329,One Sample t-test,two.sided,1,0.47785137785037246
357,0.006164344287799175,0.6789033909261091,0.522509825396639,6,-0.01605326029917699,0.02838194887477534,One Sample t-test,two.sided,1,0.555066561821899
298,0.007706877842730412,1.6948714703521588,0.14103456226034702,6,-0.0034196595133944795,0.018833415198855306,One Sample t-test,two.sided,1,0.47785137785037246
432,0.003204465304202993,1.9451260894534734,0.09973059164388645,6,-8.266585247104773e-4,0.007235589133116463,One Sample t-test,two.sided,1,0.47785137785037246
780,0.14959793947106853,2.6474881162699244,0.026585433866931234,9,0.021773361813992843,0.27742251712814425,One Sample t-test,two.sided,0.7178067144071433,0.47785137785037246
430,0.0019666935575095214,0.9509969947153553,0.41176516196764473,3,-0.004614711726105292,0.008548098841124334,One Sample t-test,two.sided,1,0.5294123511012575
729,0.015885868698195537,0.5124176827932969,0.6241265035981984,7,-0.057421731025143384,0.08919346842153446,One Sample t-test,two.sided,1,0.6241265035981984
799,0.10768570338152342,2.2169895958583816,0.05382784684962918,9,-0.0021939215344236604,0.2175653282974705,One Sample t-test,two.sided,1,0.47785137785037246
435,0.004865995822083313,1.3686587629465952,0.21340863691987272,7,-0.003540958519315473,0.013272950163482098,One Sample t-test,two.sided,1,0.47785137785037246
784,0.023050495360339242,1.157876179428444,0.2803117233956147,8,-0.02285643196386317,0.06895742268454166,One Sample t-test,two.sided,1,0.5045611021121065
345,0.004619683793043095,1.4095017289570009,0.1922919088114416,9,-0.0027946035168620246,0.012033971102948213,One Sample t-test,two.sided,1,0.47785137785037246
436,0.0025980451552970636,0.8773322122969063,0.44489312739428916,3,-0.006826137713571859,0.012022228024165988,One Sample t-test,two.sided,1,0.5460052018020821
307,0.0067960573802386135,0.9707278004319694,0.3691731247702915,6,-0.01033475244860023,0.023926867209077458,One Sample t-test,two.sided,1,0.5246144404630458
348,0.029085177124996482,1.6920512832168553,0.12909600876661184,8,-0.010553419759535214,0.06872377400952819,One Sample t-test,two.sided,1,0.47785137785037246
V41,0.0010441435499965437,0.6788005731012313,0.5345085410136804,4,-0.0032266354731664416,0.005314922573159529,One Sample t-test,two.sided,1,0.555066561821899
040,5.291005291005291e-4,1,0.49999999999999956,1,-0.00619375911966915,0.007251960177870208,One Sample t-test,two.sided,1,0.555066561821899
437,0.015874941186101988,1.9716875520039356,0.096125101453034,6,-0.003826244067627699,0.03557612643983168,One Sample t-test,two.sided,1,0.47785137785037246
431,0.0019917761631604975,1.5964208653004626,0.14906163728155247,8,-8.85312309235995e-4,0.0048688646355569895,One Sample t-test,two.sided,1,0.47785137785037246
322,7.148743007741641e-4,1.1427252291198053,0.33608765527985773,3,-0.0012760234402281853,0.002705772041776513,One Sample t-test,two.sided,1,0.5220730272507307
323,2.2381378692927484e-4,1,0.39100221895577053,3,-4.884615723553509e-4,9.360891462139007e-4,One Sample t-test,two.sided,1,0.5278529955902902
330,2.1691973969631235e-4,1,0.49999999999999956,1,-0.002539306884202753,0.0029731463635953776,One Sample t-test,two.sided,1,0.555066561821899
369,0.003297982569058882,1.0448748097578806,0.34394133482513584,5,-0.004815653636059716,0.01141161877417748,One Sample t-test,two.sided,1,0.5220730272507307
320,0,NaN,NaN,1,NaN,NaN,One Sample t-test,two.sided,NaN,NaN
359,0.001556753896275698,2.0389672558518073,0.09699631306560794,5,-4.0588835648111457e-4,0.003519396149032511,One Sample t-test,two.sided,1,0.47785137785037246
339,0.012477997762469873,1.5293689021043255,0.2236514179729886,3,-0.013487325464562615,0.038443320989502365,One Sample t-test,two.sided,1,0.47785137785037246
797,0.0023493630111010126,1.5465367496354558,0.2620275349015077,2,-0.004186849707587325,0.00888557572978935,One Sample t-test,two.sided,1,0.5045611021121065
